supplier,item,description,admin,accounting,qa,qc,dok,systemkaizen,prodsupport_stafftools,prodsupport_staffoffice,prodsupport_supplies,audittraining,prodmgt,impexcrating,molding,fabrication,whreceiving,saitama,purchasing,prodtech,partsinspection,prod1dcmotor,prod1ud700yud,prod1sdrb260,prod1rbw10,prod2glr100,prod1brm,prod1technician,prod1office,prod1partsprep,prod2rbw150,prod2rbg,prod2technician,prod2partsprep,prod2packaging,prod2office,g200,rbw50,rbw100,sdrb100
RLT 88 TRADING CO.,Colored Pentel  ,Faber Castell - Yellow,1,,1,,,,,,,,,5,,,3,,,2,2,1,,,,,,,2,,,,,,,,,1,,1
BENJ ENTERPRISES,Construction Paper,Yellow  IT- 161,,,4,,,,,,,,10,,,,5,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Construction Paper,Peach - Long Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Construction Paper,Peach - Long Size,,,,,,,,,,,10,,,,,,,,1,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Construction Paper,Red,,,,,10,,,,,,,50,,,,,,,2,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Construction Paper,Lagoon - Long Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Construction Paper,Lagoon - Long Size,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Construction Paper,Gold - Long Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Construction Paper,Gold - Long Size,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Construction Paper,Pink - Long Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Construction Paper,Pink - Long Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Construction Paper,Cyber Green IT-322,,,,1,,,,,,,10,,1,,,,,,2,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Construction Paper,Cyber Orange - Long Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Construction Paper,Cyber Orange - Long Size,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Construction Paper,Lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Construction Paper,Lavender,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Construction Paper,Cyber Yellow IT-364,,,,1,,,,,,,10,,,,5,,,,1,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Construction Paper,Blue IT- 221,,,,1,,,,,,,10,,1,,,,,,2,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Construction Paper,Parrot - Long Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Construction Paper,Parrot - Long Size,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Continuous Form,9 1/2 x 11 (2 ply),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Continuous Form,9 1/2 x 11 (2 ply) SMART,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Copy Paper,Lazer - A4(210x297mm.),4,6,2,260,1,,,4,2,3,20,15,1,1,4,10,5,2,13,,6,,9,95,103,,1,,16,85,,,26,,,11,7,18
RLT 88 TRADING CO.,Copy Paper,Lazer - A4(210x297mm.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Copy Paper,Lazer - Short(216x279mm.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Copy Paper,Lazer - Long(216x330mm.),1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Copy Paper,Lazer - A3(420x297mm.),1,,1,,,,,,,1,,,1,,,,1,1,3,,,,,,,,1,,,1,,,,,,,,
CHRISTCA PRINTING PRESS,Copy paper ,Special Paper A5(GM Slips),,,,,,,,,3,,42,,,,30,,,,,,,,,,,,,,,,,,,,,,,
CHRISTCA PRINTING PRESS,Copy paper ,Special Paper A5(GM Slips),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRISTCA PRINTING PRESS,Copy paper ,Special Paper A4(W/ 2 sides perforation),,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,
CHRISTCA PRINTING PRESS,Copy paper ,Special Paper A4(W/ 2 sides perforation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Correction Pen,HBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Correction Tape,Joy,6,1,,1,,,,,,,1,,,,1,,1,,3,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Cutter ,Ordinary - Big,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Cutter ,Tajima LC - 500 - Big,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,1,1,,,,,
RLT 88 TRADING CO.,Cutter ,Tajima LC - 500 - Big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Cutter ,Ordinary - Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Cutter Blade,Heavy - Duty Small,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Cutter Blade,Heavy - Duty Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
